Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Burgess	Michael C.		X	TX26	2019	4/15/2020	30008718
	Burgess	Tania		C	TX32	2019	4/6/2019	10025439
Mr.	Burley	Brian J.		C	CA48	2019	11/4/2019	10029625
Mr.	Burley	Brian J.		D	CA48	2019	5/2/2019	40001489
Mr.	Burley	Brian J.		D	CA48	2019	5/20/2019	9114700
Mr.	Burley	Brian J.		X	CA48	2019	10/10/2019	30006181
	Burns	Brian		C	IL05	2019	9/2/2019	10029313
	Burton	Hasani		C	TX30	2019	1/31/2020	10033565
	Bush	Cori		C	MO01	2019	8/15/2020	10038695
	Bush	Pierce		C	TX22	2019	1/8/2020	10032389
Hon.	Bustos	Cheri		O	IL17	2019	8/10/2020	10037009
Hon.	Bustos	Cheri		P	IL17	2019	4/25/2019	20011505
Hon.	Bustos	Cheri		P	IL17	2019	5/3/2019	20011589
Hon.	Bustos	Cheri		P	IL17	2019	11/8/2019	20012561
Hon.	Bustos	Cheri		X	IL17	2019	4/15/2020	30008733
	Buttar	Shahid		C	CA12	2019	5/22/2019	9114803
Hon.	Butterfield	G. K.		O	NC01	2019	8/12/2020	10038351
Hon.	Butterfield	G. K.		X	NC01	2019	4/15/2020	30008737
	Byers	Jamie		C	CA04	2019	5/7/2020	10033635
	Byers	Jamie		D	CA04	2019	2/13/2020	40002869
Hon.	Byrne	Bradley		O	AL01	2019	5/11/2020	8217310
Hon.	Byrne	Bradley		X	AL01	2019	4/15/2020	30008742
	Cabrera	Fernando		X	NY14	2019	11/7/2019	30006216
	Cabrera	Fernando		X	NY14	2019	12/10/2019	30006271
Dr.	Cabrera	Fernando		C	NY14	2019	2/3/2020	10029848
Mr.	Cadena	Robert M.		C	TX18	2019	1/23/2020	10032353
Mr.	Cadena	Robert M.		X	TX18	2019	1/9/2020	30007304
	Cady	Jeffery		C	TX11	2019	1/10/2020	10032426
	Cady	Jeffery		D	TX11	2019	1/13/2020	40001820
